Grape,Country,Wine name,Wine rating average,Wine ratings count
Cabernet Sauvignon,us,Chardonnay,4.3,18694
Cabernet Sauvignon,es,Macán Clásico,4.3,16525
Cabernet Sauvignon,cl,Memorias,4.3,15980
Cabernet Sauvignon,us,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,13415
Cabernet Sauvignon,ar,Gran Malbec (X),4.3,12579
Cabernet Sauvignon,es,Reserva Ribera del Duero,4.3,11233
Cabernet Sauvignon,es,San Vicente Rioja,4.3,10701
Cabernet Sauvignon,es,Gran Reserva Rioja (Finca Ygay),4.3,9595
Cabernet Sauvignon,es,Victorino,4.3,9294
Cabernet Sauvignon,es,Gaudium,4.3,7414
Cabernet Sauvignon,hu,Tokaji Aszú 3 Puttonyos,4.3,7080
Cabernet Sauvignon,us,TD9,4.3,6056
Cabernet Sauvignon,us,Lion Tamer Napa Valley Red Blend,4.3,4981
Cabernet Sauvignon,es,La Cueva del Contador Rioja,4.3,4013
Cabernet Sauvignon,es,Perpetual,4.3,3809
Cabernet Sauvignon,ar,Lindaflor Blend,4.3,3550
Cabernet Sauvignon,es,Serral del Vell Brut Nature,4.3,2418
Cabernet Sauvignon,us,Merlot (Signature),4.3,2312
Cabernet Sauvignon,au,Nine Popes,4.3,2118
Cabernet Sauvignon,us,Rapture Cabernet Sauvignon,4.3,2117
Cabernet Sauvignon,us,Royal St Robert Cuvée Pinot Noir,4.3,2099
Cabernet Sauvignon,us,Ulysses,4.3,1980
Cabernet Sauvignon,es,Cava Celler Batlle,4.3,1575
Cabernet Sauvignon,es,Miserere,4.3,1392
Cabernet Sauvignon,za,Crescendo,4.3,1347
Cabernet Sauvignon,es,Félix Callejo (Viñedos de la Familia),4.3,1341
Cabernet Sauvignon,es,Amaya Arzuaga (Colección),4.3,1179
Cabernet Sauvignon,es,Moncerbal Bierzo (Corullón),4.3,1090
Cabernet Sauvignon,za,B Bordicon Blend,4.3,1088
Cabernet Sauvignon,us,Rutherford Cabernet Sauvignon,4.3,655
Cabernet Sauvignon,hu,Tokaji Aszú 5 Puttonyos,4.3,649
Cabernet Sauvignon,es,Gratallops Partida Bellvisos,4.3,627
Cabernet Sauvignon,hr,Winemaker's Selection,4.3,292
Cabernet Sauvignon,ar,Malbec,4.2,33640
Cabernet Sauvignon,za,Kevin Arnold Shiraz,4.2,6987
Cabernet Sauvignon,es,Rioja 150 Aniversario,4.2,4642
Cabernet Sauvignon,cl,Carabantes Syrah,4.2,4523
Cabernet Sauvignon,cl,Conde de Superunda,4.2,3237
Cabernet Sauvignon,es,Valdegines,4.2,2594
Cabernet Sauvignon,es,Chafandin,4.2,2570
Cabernet Sauvignon,ar,Old Vines Malbec,4.2,667
Cabernet Sauvignon,es,Capellanía Reserva,4.1,7314
Cabernet Sauvignon,cl,Red,4.1,1297
