Grape,Country,Wine name,Wine rating average,Wine ratings count
Pinot Noir,fr,Côte-Rôtie,4.4,7177
Pinot Noir,us,Les Noisetiers,4.4,7035
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.4,6879
Pinot Noir,fr,Clos des Lambrays Grand Cru,4.4,6431
Pinot Noir,fr,Barsac (Premier Grand Cru Classé),4.4,6028
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,5755
Pinot Noir,fr,Blanc de Blancs Brut Champagne Grand Cru,4.4,5553
Pinot Noir,fr,Réserve Côtes-du-Rhône,4.4,4027
Pinot Noir,fr,Brut Champagne (Gold),4.4,3874
Pinot Noir,fr,Pomerol,4.4,3509
Pinot Noir,fr,Saint-Émilion Grand Cru (Grand Cru Classé),4.4,3498
Pinot Noir,fr,Pomerol,4.4,3377
Pinot Noir,fr,Cuvée des Cadettes Châteauneuf-du-Pape,4.4,3283
Pinot Noir,fr,Beaune 1er Cru 'Clos des Mouches' Blanc,4.4,3093
Pinot Noir,us,Altagracia Cabernet Sauvignon,4.4,3083
Pinot Noir,us,Cabernet Sauvignon,4.4,2830
Pinot Noir,fr,Saint-Émilion Grand Cru,4.4,2829
Pinot Noir,fr,Clos de la Roche Grand Cru Cuvée Vieilles Vignes,4.4,2678
Pinot Noir,fr,Vieilles Vignes Châteauneuf-du-Pape Blanc,4.4,2587
Pinot Noir,fr,Chambertin Grand Cru,4.4,2542
Pinot Noir,fr,Corton-Charlemagne Grand Cru Blanc,4.4,2453
Pinot Noir,fr,V.P Extra Brut Champagne Grand Cru 'Ambonnay',4.4,2079
Pinot Noir,fr,Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,4.4,2077
Pinot Noir,fr,Saint-Emilion Grand Cru (Premier Grand Cru Classé),4.4,1986
Pinot Noir,us,Merlot,4.4,1922
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,1913
Pinot Noir,fr,Ermitage Ex-Voto,4.4,1804
Pinot Noir,fr,Rosé Brut Champagne Grand Cru 'Ambonnay',4.4,1782
Pinot Noir,us,One Sixteen Chardonnay,4.4,1753
Pinot Noir,fr,Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,4.4,1701
Pinot Noir,fr,Saint-Émilion Grand Cru,4.4,1527
Pinot Noir,fr,Les Bessards Hermitage,4.4,1515
Pinot Noir,fr,La Grande Rue Grand Cru Monopole,4.4,1496
Pinot Noir,fr,Les Grandes Places Côte-Rôtie,4.4,1316
Pinot Noir,fr,Gardarèm,4.4,1308
Pinot Noir,fr,Chevalier-Montrachet Grand Cru Blanc,4.4,1283
Pinot Noir,fr,Avizoise Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize',4.4,1278
Pinot Noir,fr,Les Sentiers Chambolle-Musigny 1er Cru,4.4,1253
Pinot Noir,fr,Nuits-Saint-Georges 1er Cru 'Clos des Corvées',4.4,1245
Pinot Noir,fr,Clos Vougeot Grand Cru,4.4,1202
Pinot Noir,us,Côte à Côte Estate,4.4,1133
Pinot Noir,fr,Mazis-Chambertin Grand Cru,4.4,1121
Pinot Noir,fr,Chapelle d'Ausone Saint-Émilion Grand Cru,4.4,1086
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,1045
Pinot Noir,fr,Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,4.4,1041
Pinot Noir,fr,Puligny-Montrachet Premier Cru Champ-Canet,4.4,1020
Pinot Noir,fr,Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.4,1016
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,1007
Pinot Noir,fr,Gevrey Chambertin 1er Cru 'Aux Combottes',4.4,1002
Pinot Noir,fr,Chambertin Clos de Bèze Grand Cru,4.4,983
Pinot Noir,fr,Carmin,4.4,931
Pinot Noir,fr,Corton-Bressandes Grand Cru,4.4,861
Pinot Noir,fr,Historical XIXth Century Wine,4.4,807
Pinot Noir,fr,Vénus Blanc de Blancs Brut Nature Champagne Grand Cru 'Avize',4.4,794
Pinot Noir,fr,Les Beaux Monts Vosne-Romanée 1er Cru,4.4,787
Pinot Noir,fr,Le Petit Cheval Bordeaux Blanc,4.4,782
Pinot Noir,fr,Tessons Clos de Mon Plaisir Meursault,4.4,761
Pinot Noir,fr,Romanée-Saint-Vivant Grand Cru Les Quatre Journaux,4.4,731
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,718
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,709
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,708
Pinot Noir,fr,Grands-Echezeaux Grand Cru,4.4,700
Pinot Noir,fr,Sancerre 'Clos la Néore',4.4,699
Pinot Noir,fr,Châteauneuf-du-Pape Réservé Blanc,4.4,668
Pinot Noir,fr,Vosne-Romanée 1er Cru 'Les Suchots',4.4,651
Pinot Noir,fr,Clos de Vougeot,4.4,608
Pinot Noir,fr,Les Blanchiens Brut Nature Champagne Premier Cru,4.4,590
Pinot Noir,fr,Saint-Émilion Grand Cru,4.4,589
Pinot Noir,fr,Puligny-Montrachet Premier Cru Les Combettes,4.4,582
Pinot Noir,fr,Charmes-Chambertin Grand Cru Les Mazoyères,4.4,548
Pinot Noir,fr,Grands-Échezeaux Grand Cru,4.4,544
Pinot Noir,fr,Corton Grand Cru 'Clos Rognet',4.4,543
Pinot Noir,fr,Nuits-Saint-Georges 1er Cru 'Aux Thorey',4.4,543
Pinot Noir,fr,Chevalier-Montrachet Grand Cru Les Demoiselles,4.4,532
Pinot Noir,us,Novicium Estate,4.4,495
Pinot Noir,us,Fort Ross Seaview Home Field Pinot Noir,4.4,483
Pinot Noir,us,Gold Series Syrah,4.4,477
Pinot Noir,fr,Puligny-Montrachet Premier Cru ' Clos de la Truffière',4.4,475
Pinot Noir,fr,Clos Saint Denis Grand Cru,4.4,474
Pinot Noir,fr,Bonnes Mares Grand Cru,4.4,452
Pinot Noir,fr,Grands-Échézeaux Grande Cuvée Vieilles Vignes,4.4,449
Pinot Noir,fr,Puligny-Montrachet 1er Cru 'La Garenne',4.4,442
Pinot Noir,fr,Mazis-Chambertin Grand Cru,4.4,433
Pinot Noir,fr,Grands-Echezeaux Grand Cru,4.4,432
Pinot Noir,fr,Clos de la Roche Grand Cru,4.4,429
Pinot Noir,fr,Puligny-Montrachet 1er Cru 'Les Champs Gains',4.4,429
Pinot Noir,fr,Cuvée Risleus Brut Champagne Premier Cru,4.4,415
Pinot Noir,fr,Chambolle-Musigny Les Cabottes,4.4,413
Pinot Noir,fr,Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,4.4,368
Pinot Noir,fr,Chambolle-Musigny Premier Cru Les Charmes,4.4,364
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,359
Pinot Noir,fr,Chambertin Grand Cru,4.4,354
Pinot Noir,fr,Bâtard-Montrachet Grand Cru,4.4,347
Pinot Noir,fr,Meursault 1er Cru 'Perrières',4.4,342
Pinot Noir,fr,Morey-Saint-Denis Tres Girard,4.4,339
Pinot Noir,fr,Les Boudots Nuits-Saint-Georges 1er Cru,4.4,339
Pinot Noir,fr,Chambertin Clos de Bèze Grand Cru,4.4,331
Pinot Noir,fr,Chassagne-Montrachet 1er Cru 'Morgeot',4.4,329
Pinot Noir,fr,Fleur de Miraval Exclusivement Rosé Champagne,4.4,304
Pinot Noir,fr,Réservé Châteauneuf-du-Pape,4.4,297
Pinot Noir,fr,Chassagne-Montrachet 1er Cru 'Morgeot',4.4,283
Pinot Noir,fr,Côte Rôtie La Brocarde,4.4,278
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,277
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,276
Pinot Noir,fr,Les Ruchons Sancerre Blanc,4.4,269
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,268
Pinot Noir,us,Hyde Vineyard Chardonnay,4.4,265
Pinot Noir,fr,Chambolle-Musigny Premier Cru 'Les Feusselottes',4.4,262
Pinot Noir,fr,Nuits-Saint-Georges,4.4,257
Pinot Noir,fr,Champ Cain Extra Brut Champagne Grand Cru 'Avize',4.4,234
Pinot Noir,us,Belles Soeurs Cuvée Pinot Noir,4.4,229
Pinot Noir,us,Lot 1,4.4,226
Pinot Noir,fr,Clos Vougeot Grand Cru,4.4,226
Pinot Noir,fr,Todeschini Distique Saint-Émilion Grand Cru,4.4,185
Pinot Noir,fr,Chemin du Bois Champagne,4.4,184
Pinot Noir,fr,Vignes Centenaires 'La Richemone',4.4,182
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,178
Pinot Noir,fr,Chablis Grand Cru 'Les Clos',4.4,173
Pinot Noir,fr,Musigny Grand Cru,4.4,171
Pinot Noir,fr,Charmes-Chambertin Grand Cru,4.4,170
Pinot Noir,ch,Sous L'Escalier Petite Arvine du Valais,4.4,164
Pinot Noir,fr,Corton-Charlemagne Grand Cru,4.4,164
Pinot Noir,fr,Saint-Julien (Grand Cru Classé),4.3,37174
Pinot Noir,fr,Saint-Estèphe (Grand Cru Classé),4.3,35624
Pinot Noir,fr,Saint-Julien (Grand Cru Classé),4.3,33618
Pinot Noir,fr,Saint-Julien (Grand Cru Classé),4.3,32627
Pinot Noir,fr,Pessac-Léognan (Grand Cru Classé de Graves),4.3,25444
Pinot Noir,us,Chardonnay,4.3,18694
Pinot Noir,fr,Sauternes (Premier Grand Cru Classé),4.3,17293
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.3,17090
Pinot Noir,fr,Hermitage La Chapelle Rouge,4.3,15298
Pinot Noir,us,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,13415
Pinot Noir,fr,Pomerol,4.3,11885
Pinot Noir,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.3,10699
Pinot Noir,fr,Clos de la Coulée de Serrant,4.3,8365
