Grape Name,Country,Region,Wine,Wine rating average,Wine rating count
Cabernet Sauvignon,au,Barossa Valley,Aphrodite,4.4,367
Cabernet Sauvignon,es,Rioja,Rioja Blanco Reserva,4.4,361
Cabernet Sauvignon,es,Mallorca,Grand Vin,4.4,343
Cabernet Sauvignon,gr,Fthiotida,Παλιές Ρίζες (Palies Rizes),4.4,313
Cabernet Sauvignon,gr,Epanomi,Museum Collection White,4.4,297
Cabernet Sauvignon,ar,Tupungato,Los Jabalíes Single Vineyard Malbec,4.4,284
Cabernet Sauvignon,us,Los Carneros,Hyde Vineyard Chardonnay,4.4,265
Cabernet Sauvignon,au,Barossa,Dogs of the Barossa Shiraz,4.4,264
Cabernet Sauvignon,za,Greyton,Estate Reserve Viognier,4.4,257
Cabernet Sauvignon,es,Jumilla,Minami,4.4,246
Cabernet Sauvignon,es,Ribera del Duero,Peña Lobera,4.4,234
Cabernet Sauvignon,us,Yamhill County,Belles Soeurs Cuvée Pinot Noir,4.4,229
Cabernet Sauvignon,us,Napa Valley,Lot 1,4.4,226
Cabernet Sauvignon,es,Andalucía,Fino La Barajuela,4.4,222
Cabernet Sauvignon,es,Ribera del Duero,Tinto,4.4,203
Cabernet Sauvignon,au,Margaret River,Chardonnay,4.4,201
Cabernet Sauvignon,hu,Tokaj,Petracs Furmint,4.4,200
Cabernet Sauvignon,cl,Central Valley,Vieilles Vignes La Parcelle 8 Apalta,4.4,184
Cabernet Sauvignon,ro,Dealu Mare,Carpathia Heritage,4.4,166
Cabernet Sauvignon,es,Rioja,El Escolladero,4.4,161
Cabernet Sauvignon,es,Vino de España,Pandorga,4.4,148
Cabernet Sauvignon,es,Ribera del Duero,Ribera del Duero Reserva,4.3,37394
Cabernet Sauvignon,es,Ribera del Duero,Malleolus,4.3,34630
Cabernet Sauvignon,ar,Mendoza,Cabernet - Cabernet,4.3,27436
Cabernet Sauvignon,us,Napa Valley,Chardonnay,4.3,18694
Cabernet Sauvignon,es,Rioja,Macán Clásico,4.3,16525
Cabernet Sauvignon,cl,Maipo Valley,Memorias,4.3,15980
Cabernet Sauvignon,us,Napa Valley,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,13415
Cabernet Sauvignon,ar,Mendoza,Gran Malbec (X),4.3,12579
Cabernet Sauvignon,es,Ribera del Duero,Reserva Ribera del Duero,4.3,11233
Cabernet Sauvignon,es,Rioja,San Vicente Rioja,4.3,10701
Cabernet Sauvignon,es,Rioja,Gran Reserva Rioja (Finca Ygay),4.3,9595
Cabernet Sauvignon,es,Toro,Victorino,4.3,9294
Cabernet Sauvignon,es,Rioja,Gaudium,4.3,7414
Cabernet Sauvignon,hu,Tokaj,Tokaji Aszú 3 Puttonyos,4.3,7080
Cabernet Sauvignon,us,Napa Valley,TD9,4.3,6056
Cabernet Sauvignon,us,Napa Valley,Lion Tamer Napa Valley Red Blend,4.3,4981
Cabernet Sauvignon,es,Rioja,La Cueva del Contador Rioja,4.3,4013
Cabernet Sauvignon,es,Priorat,Perpetual,4.3,3809
Cabernet Sauvignon,ar,Uco Valley,Lindaflor Blend,4.3,3550
Cabernet Sauvignon,es,Penedès,Serral del Vell Brut Nature,4.3,2418
Cabernet Sauvignon,us,Napa Valley,Merlot (Signature),4.3,2312
Cabernet Sauvignon,au,Barossa,Nine Popes,4.3,2118
Cabernet Sauvignon,us,Lodi,Rapture Cabernet Sauvignon,4.3,2117
Cabernet Sauvignon,us,Sonoma Coast,Royal St Robert Cuvée Pinot Noir,4.3,2099
Cabernet Sauvignon,us,Napa Valley,Ulysses,4.3,1980
Cabernet Sauvignon,es,Cava,Cava Celler Batlle,4.3,1575
Cabernet Sauvignon,es,Priorat,Miserere,4.3,1392
Cabernet Sauvignon,za,Stellenbosch,Crescendo,4.3,1347
Cabernet Sauvignon,es,Ribera del Duero,Félix Callejo (Viñedos de la Familia),4.3,1341
Cabernet Sauvignon,es,Ribera del Duero,Amaya Arzuaga (Colección),4.3,1179
Cabernet Sauvignon,es,Bierzo,Moncerbal Bierzo (Corullón),4.3,1090
Cabernet Sauvignon,za,Stellenbosch,B Bordicon Blend,4.3,1088
Cabernet Sauvignon,us,Rutherford,Rutherford Cabernet Sauvignon,4.3,655
Cabernet Sauvignon,hu,Tokaj,Tokaji Aszú 5 Puttonyos,4.3,649
Cabernet Sauvignon,es,Priorat,Gratallops Partida Bellvisos,4.3,627
Cabernet Sauvignon,hr,Srednja I Juzna Dalmacija,Winemaker's Selection,4.3,292
Cabernet Sauvignon,ar,Mendoza,Malbec,4.2,33640
Cabernet Sauvignon,za,Stellenbosch,Kevin Arnold Shiraz,4.2,6987
Cabernet Sauvignon,es,Rioja,Rioja 150 Aniversario,4.2,4642
Cabernet Sauvignon,cl,Aconcagua Valley,Carabantes Syrah,4.2,4523
Cabernet Sauvignon,cl,Curico Valley,Conde de Superunda,4.2,3237
Cabernet Sauvignon,es,Vino de España,Valdegines,4.2,2594
Cabernet Sauvignon,es,Ribera del Duero,Chafandin,4.2,2570
Cabernet Sauvignon,ar,Rio Negro,Old Vines Malbec,4.2,667
Cabernet Sauvignon,es,Rioja,Capellanía Reserva,4.1,7314
Cabernet Sauvignon,cl,Maipo Valley,Red,4.1,1297
